"dname","attrib","img","behavior","target_team","manacost","description","cooldown","dmg_type","target_type","dispellable","bkbpierce","lore","damage"
"Overload Pierces Immunity","","","","","","","","","","","","",""
"Overpower","[{'key': 'max_attacks', 'header': 'ATTACKS:', 'value': ['3', '4', '5', '6']}, {'key': 'attack_speed_bonus_pct', 'header': 'BONUS ATTACK SPEED:', 'value': '400'}, {'key': 'slow_resist', 'header': 'SLOW RESISTANCE:', 'value': ['15%', '20%', '25%', '30%']}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '0', 'generated': True}, {'key': 'abilityduration', 'header': 'DURATION:', 'value': '20'}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ursa_overpower.png","No Target","","['30', '40', '50', '60']","Using his skill in combat, Ursa gains increased attack speed and slow resistance for a number of subsequent attacks.","['12', '11', '10', '9']","","","Yes","","For a behemoth of his size, Ursa is deceptively nimble.",""
"Overwhelming Odds","[{'key': 'damage', 'header': 'BASE DAMAGE:', 'value': ['35', '65', '95', '125']}, {'key': 'damage_per_unit', 'header': 'DAMAGE PER CREEP:', 'value': ['14', '16', '18', '20']}, {'key': 'damage_per_hero', 'header': 'DAMAGE PER HERO:', 'value': ['35', '65', '95', '125']}, {'key': 'illusion_dmg_pct', 'header': 'ILLUSION DAMAGE:', 'value': '25%'}, {'key': 'bonus_attack_speed_creeps', 'header': 'BONUS ATTACK SPEED CREEPS:', 'value': '0', 'generated': True}, {'key': 'bonus_attack_speed', 'header': 'BONUS ATTACK SPEED:', 'value': ['50', '75', '100', '125']}, {'key': 'duration', 'header': 'SPEED DURATION:', 'value': '5'}, {'key': 'radius', 'header': 'RADIUS:', 'value': '600'}, {'key': 'armor_per_creep', 'header': 'ARMOR PER CREEP:', 'value': '1', 'generated': True}, {'key': 'armor_per_hero', 'header': 'ARMOR PER HERO:', 'value': '5', 'generated': True}, {'key': 'shard_duration', 'header': 'SHARD DURATION:', 'value': '8', 'generated': True}, {'key': 'duel_radius_bonus', 'header': 'DUEL RADIUS BONUS:', 'value': '0', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '0', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/legion_commander_overwhelming_odds.png","['AOE', 'No Target']","","['100', '110', '120', '130']","Turns the enemies' numbers against them, dealing damage per unit or per hero and granting you bonus attack speed . Deals bonus damage to illusions and summoned units as a percent of their current health. Can be cast during Duel.","15","Magical","","Yes","No","The archers of Stonehall are ready at Tresdin's command.",""
"PINPOINT DETONATE","[{'key': 'radius', 'header': 'RADIUS:', 'value': ['400', '410', '425'], 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/techies_remote_mines_self_detonate.png","['No Target', 'Instant Cast']","","","Detonate all selected remote mines.","","Magical","","","","Kablooey!",""
"Pack Rat","","","","","","","","","","","","",""
"Packleader's Aura","[{'key': 'bonus_damage_pct', 'header': 'BONUS DAMAGE:', 'value': '30%'}, {'key': 'radius', 'header': 'RADIUS:', 'value': '1200'}]","/apps/dota2/images/dota_react/abilities/alpha_wolf_command_aura.png","Passive","","","The Alpha Wolf's ruthless attacks do extra damage. His commanding presence inspires nearby allies to attack ruthlessly as well.","","","","","","",""
"Parallel Wall","","","","","","","","","","","","",""
"Paralyzing Cask","[{'key': 'hero_duration', 'header': 'STUN DURATION:', 'value': '0.8'}, {'key': 'creep_duration', 'header': 'CREEP DURATION:', 'value': '0.8', 'generated': True}, {'key': 'base_damage', 'header': 'BASE DAMAGE:', 'value': '50'}, {'key': 'bounce_range', 'header': 'BOUNCE RANGE:', 'value': '575', 'generated': True}, {'key': 'bounces', 'header': 'BOUNCES:', 'value': ['2', '4', '6', '8']}, {'key': 'speed', 'header': 'SPEED:', 'value': '1200', 'generated': True}, {'key': 'bounce_delay', 'header': 'BOUNCE DELAY:', 'value': '0.1', 'generated': True}, {'key': 'bounce_bonus_damage', 'header': 'BONUS DAMAGE PER BOUNCE:', 'value': ['10', '15', '20', '25']}, {'key': 'creep_damage_pct', 'header': 'CREEP DAMAGE PCT:', 'value': '150', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '600', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/witch_doctor_paralyzing_cask.png","Unit Target","Enemy","['80', '100', '120', '140']","Launches a cask of paralyzing powder that ricochets between enemy units, stunning and damaging those it hits. Each bounce deals more damage than the previous one. Deals 150% damage to creeps.","['20', '18', '16', '14']","Magical","['Hero', 'Basic']","[]","No","The Witch Doctor recycles the bones of fallen friends and foes, using the powder as part of his arsenal of charms and alchemy.",""
"Parting Shot","[{'key': 'projectile_speed', 'header': 'PROJECTILE SPEED:', 'value': '2500', 'generated': True}, {'key': 'knockback_duration', 'header': 'KNOCKBACK DURATION:', 'value': '0.2', 'generated': True}, {'key': 'knockback_distance', 'header': 'KNOCKBACK DISTANCE:', 'value': '150'}, {'key': 'debuff_duration', 'header': 'DURATION:', 'value': '4'}, {'key': 'ethereal_damage_bonus', 'header': 'ETHEREAL DAMAGE BONUS:', 'value': '0', 'generated': True}, {'key': 'movement_slow', 'header': 'MOVEMENT SLOW:', 'value': '0', 'generated': True}, {'key': 'soul_return_time', 'header': 'SOUL RETURN TIME:', 'value': '0.75', 'generated': True}, {'key': 'soul_return_min_speed', 'header': 'SOUL RETURN MIN SPEED:', 'value': '500', 'generated': True}, {'key': 'damage_reduction_percent', 'header': 'PHYSICAL BODY DAMAGE REDUCTION:', 'value': '35%'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '750', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/muerta_parting_shot.png","['Unit Target', 'Hidden']","Both","250","Muerta precisely shoots a hero in their soul, separating it from their physical body and knocking it 150 units away.
The soul is untargetable, muted, disarmed, and invulnerable for 4 seconds.
The body is stunned and has 35% damage reduction for this duration.

After the effect ends the hero's soul is forcefully returned to their body applying a strong dispel. The soul will survive until the end of the effect even if the hero is killed.","45","Magical","Hero","No","No","","300"
"Pending Replacement","","","","","","","","","","","","",""
"Penitence","[{'key': 'duration', 'header': 'DURATION:', 'value': ['5', '6', '7', '8']}, {'key': 'speed', 'header': 'SPEED:', 'value': '1400', 'generated': True}, {'key': 'bonus_movement_speed', 'header': 'MOVEMENT SLOW:', 'value': ['-12%', '-20%', '-28%', '-36%']}, {'key': 'bonus_attack_speed', 'header': 'BONUS ATTACK SPEED:', 'value': ['20', '40', '60', '80']}, {'key': 'damage', 'header': 'DAMAGE:', 'value': '0', 'generated': True}, {'key': 'self_attack_range_bonus', 'header': 'SELF ATTACK RANGE BONUS:', 'value': ['50', '150', '250', '350']}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '800', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/chen_penitence.png","Unit Target","Enemy","['70', '75', '80', '85']","Forces an enemy unit to move slower and for allies to attack it more quickly. Chen can attack the Penitence target with bonus attack range.","['14', '13', '12', '11']","","['Hero', 'Basic']","Yes","No","Although Chen's brand of animal enthrallment isn't quite strong enough to control the minds of enemy heroes, it still tests their resolve in combat.",""
"Penitence Deals 225 Damage","","","","","","","","","","","","",""
"Permanent Immolation","[{'key': 'damage', 'header': 'DAMAGE PER SECOND:', 'value': ['25', '50', '75']}, {'key': 'radius', 'header': 'RADIUS:', 'value': '220'}]","/apps/dota2/images/dota_react/abilities/brewmaster_fire_permanent_immolation.png","Passive","","","Burns nearby enemy units.","","Magical","","No","No","",""
"Permanent Immolation","[{'key': 'aura_radius', 'header': 'AURA RADIUS:', 'value': '300'}, {'key': 'aura_damage', 'header': 'DAMAGE:', 'value': ['30', '50', '70']}]","/apps/dota2/images/dota_react/abilities/warlock_golem_permanent_immolation.png","Passive","","","Burns the Golem's nearby enemy units, with damage per second.","","Magical","","","No","",""
"Permanent Invisibility","[{'key': 'fade_delay', 'header': 'FADE DELAY:', 'value': ['4', '3', '2']}, {'key': 'movement_speed', 'header': 'MOVEMENT SPEED:', 'value': ['20', '40', '60']}]","/apps/dota2/images/dota_react/abilities/riki_permanent_invisibility.png","Passive","","","Riki fades into the shadows, becoming invisible. When Riki attacks, he becomes visible. Grants bonus movement speed","","Physical","","No","Yes","Riki comes for you.",""
"Permanent Phase","[{'key': 'status_resistance', 'header': 'STATUS RESISTANCE:', 'value': '30%'}]","/apps/dota2/images/dota_react/abilities/brewmaster_fire_phase.png","Passive","","","Provides the Brewling with phased movement and bonus Status Resistance.","","","","No","No","",""
"Permanent Scorched Earth","","","","","","","","","","","","",""
"Permanent Spell Immunity","","","","","","","","","","","","",""
"Petrify","[{'key': 'duration', 'header': 'PETRIFY DURATION:', 'value': '2'}, {'key': 'damage', 'header': 'PETRIFY DPS:', 'value': '75'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '150', 'generated': True}]","/apps/dota2/images/dota_react/abilities/spawnlord_master_freeze.png","['Unit Target', 'Autocast', 'Attack Modifier']","Enemy","","Causes the next attack to petrify the enemy, rooting them and dealing 75 damage per second.","15","Physical","['Hero', 'Basic']","","Yes","",""
"Phantasm","[{'key': 'images_count', 'header': 'NUMBER OF PHANTASMS:', 'value': ['1', '2', '3']}, {'key': 'illusion_duration', 'header': 'PHANTASM DURATION:', 'value': '30'}, {'key': 'outgoing_damage', 'header': 'OUTGOING DAMAGE:', 'value': '0', 'generated': True}, {'key': 'outgoing_damage_tooltip', 'header': 'PHANTASM DAMAGE:', 'value': '100%'}, {'key': 'incoming_damage', 'header': 'INCOMING DAMAGE:', 'value': '225', 'generated': True}, {'key': 'incoming_damage_tooltip', 'header': 'PHANTASM DAMAGE TAKEN:', 'value': '325%'}, {'key': 'invuln_duration', 'header': 'INVULN DURATION:', 'value': '0.5', 'generated': True}, {'key': 'vision_radius', 'header': 'VISION RADIUS:', 'value': '400', 'generated': True}, {'key': 'magic_resistance', 'header': 'MAGIC RESISTANCE:', 'value': '0', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.4', 'generated': True}]","/apps/dota2/images/dota_react/abilities/chaos_knight_phantasm.png","No Target","Friendly","['100', '200', '300']","Summons several phantasmal copies of the Chaos Knight from alternate dimensions. The phantasms are strong illusions that deal 100% damage, but take 325% damage.
DISPEL TYPE: Basic Dispel","75","","Hero","","","Drawing on his battles fought across many worlds and many times, phantasms of the Chaos Knight rise up to quell all who oppose him.",""
"Phantom Greevil Strike","[{'key': 'bonus_attack_speed', 'header': 'BONUS ATTACK SPEED:', 'value': '100', 'generated': True}, {'key': 'customval_bonus_attacks', 'header': 'CUSTOMVAL BONUS ATTACKS:', 'value': '3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/greevil_phantom_strike.png","Unit Target","[]","0","","8","","[]","","","",""
"Phantom Rush","[{'key': 'min_distance', 'header': 'MIN RUSH DISTANCE:', 'value': '275'}, {'key': 'max_distance', 'header': 'MAX RUSH DISTANCE:', 'value': ['600', '675', '750', '825']}, {'key': 'bonus_speed', 'header': 'BONUS SPEED:', 'value': '800', 'generated': True}, {'key': 'bonus_agility', 'header': 'BONUS AGILITY:', 'value': ['10', '20', '30', '40']}, {'key': 'agility_duration', 'header': 'BONUS AGILITY DURATION:', 'value': '1.5'}]","/apps/dota2/images/dota_react/abilities/phantom_lancer_phantom_edge.png","['Instant Cast', 'No Target']","","","When targetting an enemy for an attack, Phantom Lancer quickly charges into range, gaining a temporary agility boost. Phantom Lancer's illusions also have this ability.","['13', '10', '7', '4']","","","Yes","","Azwraith knows that on the field of battle, speed can mean everything.",""
"Phantom Strike","[{'key': 'bonus_attack_speed', 'header': 'BONUS ATTACK SPEED:', 'value': ['100', '130', '160', '190']}, {'key': 'duration', 'header': 'DURATION:', 'value': '2.5'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1000'}, {'key': 'lifesteal_pct', 'header': 'LIFESTEAL:', 'value': '0%'}, {'key': 'creep_lifesteal_penalty', 'header': 'CREEP LIFESTEAL PENALTY:', 'value': '0', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.25', 'generated': True}]","/apps/dota2/images/dota_react/abilities/phantom_assassin_phantom_strike.png","Unit Target","[]","['35', '40', '45', '50']","Teleports to a unit, friendly or enemy, and grants bonus attack speed while attacking if it's an enemy unit.","['11', '9', '7', '5']","","[]","Yes","Yes","Mortred's silken veil is the last thing her unfortunate target sees.",""
"Phantom's Embrace","[{'key': 'spawn_time', 'header': 'SPAWN TIME:', 'value': '0', 'generated': True}, {'key': 'speed', 'header': 'SPEED:', 'value': '1150', 'generated': True}, {'key': 'latch_duration', 'header': 'LATCH DURATION:', 'value': '5'}, {'key': 'destroy_attacks', 'header': 'ATTACKS TO DESTROY:', 'value': ['6', '6', '9', '9']}, {'key': 'hero_attack_multiplier', 'header': 'HERO ATTACK MULTIPLIER:', 'value': '3', 'generated': True}, {'key': 'damage_per_second', 'header': 'PHANTOM DPS:', 'value': ['10', '20', '30', '40']}, {'key': 'enemy_vision_time', 'header': 'ENEMY VISION TIME:', 'value': '4', 'generated': True}, {'key': 'tick_interval', 'header': 'TICK INTERVAL:', 'value': '0.5', 'generated': True}, {'key': 'infection_search_radius', 'header': 'INFECTION SEARCH RADIUS:', 'value': '1000', 'generated': True}, {'key': 'pop_damage', 'header': 'REND DAMAGE:', 'value': ['120', '200', '280', '360']}, {'key': 'return_projectile_speed', 'header': 'RETURN PROJECTILE SPEED:', 'value': '1150', 'generated': True}, {'key': 'latched_unit_offset', 'header': 'LATCHED UNIT OFFSET:', 'value': '130', 'generated': True}, {'key': 'latched_unit_offset_short', 'header': 'LATCHED UNIT OFFSET SHORT:', 'value': '95', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '900', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/grimstroke_ink_creature.png","Unit Target","Enemy","['80', '100', '120', '140']","Summons a phantom that moves quickly towards the target, latching to it when she arrives. Once latched, the phantom damages and silences. If she survives the full latch duration she rends her victim for heavy damage and refreshes Phantom's Embrace's cooldown.

Hero attacks against the phantom count as 3 attacks each.","['36', '30', '24', '18']","Magical","['Hero', 'Basic']","No","No","Grimstroke holds no sorrow for the downfall of his people. Only for Yaovhi, she who was most dear to him, does he feel even a semblance of longing.",""
"Phase Shift","[{'key': 'duration', 'header': 'DURATION:', 'value': ['1', '1.75', '2.5', '3.25']}, {'key': 'shard_attack_range_bonus', 'header': 'SHARD ATTACK RANGE BONUS:', 'value': '200', 'generated': True}, {'key': 'shard_bonus_damage', 'header': 'BONUS DAMAGE:', 'value': '35'}, {'key': 'abilitychanneltime', 'header': 'CHANNEL TIME:', 'value': ['1', '1.75', '2.5', '3.25'], 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/puck_phase_shift.png","['No Target', 'Channeled']","","0","CHANNELED - Puck briefly shifts into another dimension where it is immune from harm.","['8', '7.5', '7', '6.5']","","","","","With a quip and flash, Puck returns to the alien dimension from whence it came.",""
"Pierce the Veil","[{'key': 'duration', 'header': 'DURATION:', 'value': ['6', '7', '8'], 'generated': True}, {'key': 'transform_duration', 'header': 'TRANSFORM DURATION:', 'value': '0.35', 'generated': True}, {'key': 'base_damage_pct', 'header': 'BASE DAMAGE PCT:', 'value': '100', 'generated': True}, {'key': 'modelscale', 'header': 'MODELSCALE:', 'value': '30', 'generated': True}, {'key': 'bonus_damage', 'header': 'BONUS DAMAGE:', 'value': ['70', '100', '130'], 'generated': True}, {'key': 'spell_lifesteal', 'header': 'SPELL LIFESTEAL:', 'value': '30', 'generated': True}, {'key': 'spell_amp_steal', 'header': 'SPELL AMP STEAL:', 'value': '2', 'generated': True}, {'key': 'spell_amp_steal_range', 'header': 'SPELL AMP STEAL RANGE:', 'value': '925', 'generated': True}]","/apps/dota2/images/dota_react/abilities/muerta_pierce_the_veil.png","No Target","","['150', '250', '350']","","['75', '60', '45']","Magical","","No","","",""
"Piercing","[{'key': 'creep_damage_bonus', 'header': 'BONUS DAMAGE TO NON-HERO UNITS:', 'value': '50%'}, {'key': 'hero_damage_penalty', 'header': 'DAMAGE PENALTY TO HEROES:', 'value': '-50%'}, {'key': 'heavy_damage_penalty', 'header': 'DAMAGE PENALTY TO HEAVY UNITS:', 'value': '-50%'}]","/apps/dota2/images/dota_react/abilities/creep_piercing.png","Passive","","","Piercing Units Deal Bonus Damage to non-hero, non-heavy units and reduced damage to heroes and heavy units.","","","","","","",""
"Pit of Malice","[{'key': 'radius', 'header': 'RADIUS:', 'value': '400'}, {'key': 'pit_duration', 'header': 'PIT DURATION:', 'value': '12'}, {'key': 'pit_interval', 'header': 'DISABLE INTERVAL:', 'value': '3.6'}, {'key': 'pit_damage', 'header': 'ENSNARE DAMAGE:', 'value': ['20', '30', '40', '50']}, {'key': 'ensnare_duration', 'header': 'DISABLE DURATION:', 'value': ['1.2', '1.4', '1.6', '1.8']}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '675', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.25', 'generated': True}]","/apps/dota2/images/dota_react/abilities/abyssal_underlord_pit_of_malice.png","['Point Target', 'AOE']","","['80', '100', '120', '140']","A deadly pit is conjured at the target location; any unit that enters will be damaged and rooted. Each enemy unit within the pit are affected by the root only every 3.6 seconds.","['21', '19', '17', '15']","Magical","","Yes","No","Twisting into the seams of reality itself, Vrogros' manifest hatred paralyzes those who defy his will.",""
"Plague Ward","[{'key': 'duration', 'header': 'DURATION:', 'value': '40'}, {'key': 'ward_hp_tooltip', 'header': 'WARD HP:', 'value': ['120', '230', '340', '450']}, {'key': 'ward_damage_tooltip', 'header': 'WARD DAMAGE:', 'value': ['14', '22', '30', '38']}, {'key': 'ward_hp', 'header': 'WARD HP:', 'value': ['240', '460', '680', '900'], 'generated': True}, {'key': 'ward_damage', 'header': 'WARD DAMAGE:', 'value': ['26', '44', '62', '80'], 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '850', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/venomancer_plague_ward.png","Point Target","","['21', '24', '27', '30']","Summons a plague ward to attack enemy units and structures. The ward is immune to magic. Wards gain the Poison Sting level from Venomancer, dealing 50% of the full damage.","5","Physical","","","Yes","A mixture of his old herbalist talents and newfound toxic mastery creates a living embodiment of plague.",""
"Planar Pocket","[{'key': 'radius', 'header': 'RADIUS:', 'value': '900'}, {'key': 'duration', 'header': 'DURATION:', 'value': '6'}, {'key': 'magic_resistance', 'header': 'SELF MAGIC RESISTANCE:', 'value': '75%'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '900', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/spirit_breaker_planar_pocket.png","No Target","","75","Barathrum distorts the fabric of planar space, increasing his own magic resistance and redirecting the first targeted enemy hero spell in a radius towards him. Effect ends when the first spell is redirected.","20","","","No","No","Barathrum's unyielding focus forms a pocket of planar convergence from which not even the most powerful arcane energies can escape.",""
"Plasma Field","[{'key': 'damage_min', 'header': 'DAMAGE MIN:', 'value': ['35', '40', '45', '50']}, {'key': 'damage_max', 'header': 'DAMAGE MAX:', 'value': ['80', '115', '150', '185']}, {'key': 'radius', 'header': 'RADIUS:', 'value': '700'}, {'key': 'total_ability_time', 'header': 'TOTAL ABILITY TIME:', 'value': '2.2', 'generated': True}, {'key': 'slow_min', 'header': 'SLOW MIN:', 'value': '5%'}, {'key': 'slow_max', 'header': 'SLOW MAX:', 'value': ['25%', '30%', '35%', '40%']}, {'key': 'slow_duration', 'header': 'SLOW DURATION:', 'value': '1.5'}, {'key': 'second_ring_delay', 'header': 'SECOND RING DELAY:', 'value': '0', 'generated': True}, {'key': 'second_ring_reduction', 'header': 'SECOND RING REDUCTION:', 'value': '0', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '0', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/razor_plasma_field.png","['No Target', 'Instant Cast']","","125","Releases a wave of energetic plasma that grows in power as it expands, but also zaps on contraction, slowing and dealing damage to enemy units caught in its path. Damage and slow increases with distance from Razor. The Plasma Field hits each unit twice, once each direction.","['13', '12', '11', '10']","Magical","","Yes","No","The Lightning Revenant rules the Underscape with plasmatic power.",""
"Poison","[{'key': 'attack_speed', 'header': 'ATTACK SLOW:', 'value': '-35'}, {'key': 'movement_speed', 'header': 'MOVEMENT SLOW:', 'value': '-35%'}, {'key': 'duration', 'header': 'DURATION:', 'value': '3'}]","/apps/dota2/images/dota_react/abilities/beastmaster_greater_boar_poison.png","Passive","","","Inflicts a poison that slows attack and movement speeds.","","Magical","","","Yes","",""
"Poison","[{'key': 'attack_speed', 'header': 'ATTACK SLOW:', 'value': ['-10', '-18', '-26', '-34']}, {'key': 'movement_speed', 'header': 'MOVEMENT SLOW:', 'value': ['-10%', '-18%', '-26%', '-34%']}, {'key': 'duration', 'header': 'DURATION:', 'value': '3'}]","/apps/dota2/images/dota_react/abilities/beastmaster_boar_poison.png","Passive","","","Inflicts a poison that slows attack and movement speeds.","","Magical","","Yes","No","",""
"Poison Attack","[{'key': 'duration', 'header': 'DURATION:', 'value': '4'}, {'key': 'damage', 'header': 'DAMAGE PER SECOND:', 'value': ['4', '8', '12', '16']}, {'key': 'movement_speed', 'header': 'MOVE SLOW:', 'value': ['3%', '6%', '9%', '12%']}, {'key': 'magic_resistance', 'header': 'MAGIC RESISTANCE:', 'value': ['4%', '6%', '8%', '10%']}, {'key': 'max_stacks', 'header': 'MAX STACKS:', 'value': '5'}, {'key': 'bonus_range', 'header': 'BONUS RANGE:', 'value': ['25', '65', '105', '145'], 'generated': True}, {'key': 'shard_armor_reduction', 'header': 'ARMOR REDUCTION:', 'value': '1'}, {'key': 'shard_building_dmg_pct', 'header': 'BUILDING DAMAGE:', 'value': '40%'}, {'key': 'shard_bonus_max_stacks', 'header': 'BONUS MAX STACKS:', 'value': '2'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': ['600', '640', '680', '720']}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/viper_poison_attack.png","['Unit Target', 'Autocast', 'Attack Modifier']","Enemy","24","Intensifies Viper's venom, adding an effect to his normal attack that applies a stacking movement speed slow and magic resistance deduction while dealing damage over time. Stacks up to 5 times.","0","Magical","['Hero', 'Basic']","Yes","No","The Netherdrake's inborn toxic breath quickly drains the vitality of its afflicted.","0"
"Poison Nova","[{'key': 'radius', 'header': 'RADIUS:', 'value': '900'}, {'key': 'start_radius', 'header': 'START RADIUS:', 'value': '255', 'generated': True}, {'key': 'duration', 'header': 'DURATION:', 'value': '10'}, {'key': 'damage', 'header': 'MAX HP AS DAMAGE:', 'value': '3%'}, {'key': 'magic_resist', 'header': 'MAGIC RESIST REDUCTION:', 'value': '-20%'}, {'key': 'speed', 'header': 'TRAVEL SPEED:', 'value': '550'}, {'key': 'trigger_cd', 'header': 'TRIGGER CD:', 'value': '10', 'generated': True}]","/apps/dota2/images/dota_react/abilities/venomancer_poison_nova.png","Passive","","","Whenever Venomancer dies or the effects of Venomous Gale end prematurely on an enemy hero, a spreading ring of poison erupts. Enemies hit by the poison will take non-lethal magic damage over time and have their magic resistance reduced. This effect can trigger every 10 seconds and cannot be refreshed.","","Magical","","No","No","In the Acid Jungles, creatures releasing noxious poison to their attackers is common; Venomancer spreads this plague beyond the Jidi Isle.",""
"Poison Sting","[{'key': 'movement_speed', 'header': 'MOVE SLOW:', 'value': ['-6%', '-8%', '-10%']}, {'key': 'duration_hero', 'header': 'DURATION (HERO):', 'value': '2'}, {'key': 'duration', 'header': 'DURATION (CREEP):', 'value': '6'}]","/apps/dota2/images/dota_react/abilities/broodmother_poison_sting.png","Passive","","","Slows enemies with each attack.","","Magical","","Yes","No","",""
"Poison Sting","[{'key': 'duration', 'header': 'DURATION:', 'value': ['6', '9', '12', '15']}, {'key': 'damage', 'header': 'DAMAGE PER SECOND:', 'value': ['8', '16', '24', '32']}, {'key': 'movement_speed', 'header': 'SLOW:', 'value': ['-8%', '-10%', '-12%', '-14%']}, {'key': 'hp_regen_reduction', 'header': 'HP REGEN REDUCTION:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/venomancer_poison_sting.png","Passive","","","Adds poison damage to Venomancer's normal attacks and slowing movement speed.","","Magical","","Yes","No","The paralytic sting of the creature which caused his transformation now belongs to the Venomancer.",""
"Poison Touch","[{'key': 'start_radius', 'header': 'START RADIUS:', 'value': '200', 'generated': True}, {'key': 'end_radius', 'header': 'END RADIUS:', 'value': '300', 'generated': True}, {'key': 'end_distance', 'header': 'END DISTANCE:', 'value': ['600', '700', '800', '900'], 'generated': True}, {'key': 'targets', 'header': 'TARGETS:', 'value': ['2', '4', '6', '8']}, {'key': 'damage', 'header': 'DAMAGE PER SECOND:', 'value': ['16', '28', '40', '52']}, {'key': 'slow', 'header': 'SLOW:', 'value': ['-16%', '-18%', '-20%', '-22%']}, {'key': 'projectile_speed', 'header': 'PROJECTILE SPEED:', 'value': '1300', 'generated': True}, {'key': 'duration', 'header': 'DURATION:', 'value': ['5', '6', '7', '8']}, {'key': 'bonus_damage', 'header': 'BONUS DAMAGE:', 'value': '0', 'generated': True}, {'key': 'bonus_slow', 'header': 'BONUS SLOW PER HIT:', 'value': ['-2%', '-2.5%', '-3%', '-3.5%']}, {'key': 'hex_duration', 'header': 'HEX DURATION:', 'value': '0', 'generated': True}, {'key': 'attack_range_bonus', 'header': 'ATTACK RANGE BONUS:', 'value': '0', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': ['500', '600', '700', '800']}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/dazzle_poison_touch.png","Unit Target","Enemy","['125', '130', '135', '140']","Releases a cone of poison that strikes multiple enemy units. Deals damage over time and slows the targets. Anytime the targets get attacked by Dazzle, the debuff duration is refreshed and slow is increased.","['27', '23', '19', '15']","Physical","['Hero', 'Basic']","Yes","No","One of the few Dezun rites used for offensive purposes, the paralytic enchantment often proves useful.",""
